from,to
"FUJIWARA, KEIGI","BERK, BRADFORD C"
"BEJERANO, GILL","AHITUV, NADAV"
"MAYBAUM, JONATHAN","LAWRENCE, THEODORE S"
"NARR, KATHERINE L","ESPINOZA, RANDALL"
"HAHN, CHANG-GYU","TURETSKY, BRUCE I"
"MUOIO, DEBORAH M","KELLY, DANIEL PATRICK"
"LACHKE, SALIL","BEEBE, DAVID CY"
"DORIA, ALESSANDRO","KULKARNI, ROHIT N."
"KAPLAN, FREDERICK SAMUEL","SHORE, EILEEN M"
"SCHWARTZ, ANN V","LI, XIAOJUAN"
"GREENLEAF, JAMES FOWLER","PISLARU, CRISTINA"
"WILLIAMS, SCOTT C.","STAFFORD, KIRBY C."
"WILLIAMS, SCOTT C.","MOLAEI, GOUDARZ"
"STAFFORD, KIRBY C.","MOLAEI, GOUDARZ"
"BERKOVIC, SAMUEL FRANK","COSSETTE, PATRICK"
"BERKOVIC, SAMUEL FRANK","EPSTEIN, MICHAEL PHILIP"
"BERKOVIC, SAMUEL FRANK","OTTMAN, RUTH"
"COSSETTE, PATRICK","EPSTEIN, MICHAEL PHILIP"
"COSSETTE, PATRICK","OTTMAN, RUTH"
"EPSTEIN, MICHAEL PHILIP","OTTMAN, RUTH"
"EICHLER, EVAN","SHIANNA, KEVIN"
"EICHLER, EVAN","GOLDSTEIN, DAVID B."
"EICHLER, EVAN","MEFFORD, HEATHER C."
"EICHLER, EVAN","HEINZEN, ERIN L"
"SHIANNA, KEVIN","GOLDSTEIN, DAVID B."
"SHIANNA, KEVIN","MEFFORD, HEATHER C."
"SHIANNA, KEVIN","HEINZEN, ERIN L"
"GOLDSTEIN, DAVID B.","MEFFORD, HEATHER C."
"GOLDSTEIN, DAVID B.","HEINZEN, ERIN L"
"MEFFORD, HEATHER C.","HEINZEN, ERIN L"
"YAN, WEI","MCCARREY, JOHN R"
"DASH, RANJAN K","CAMARA, AMADOU K."
"DAVIGLUS, MARTHA L","ZEE, PHYLLIS C."
"ESCAYG, ANDREW P","GOLDIN, ALAN L"
"STUKENBERG, P. TODD","BEKIRANOV, STEFAN"
"HURWITZ, JULIA L","DEVINCENZO, JOHN P."
"FRIDMAN, GREGORY","FREEMAN, THERESA A"
"CHEN, ZHONGPING","SILVERMAN, RONALD H"
"CHEN, ZHONGPING","ZHOU, QIFA"
"SILVERMAN, RONALD H","ZHOU, QIFA"
"EICHLER, EVAN","MEFFORD, HEATHER C."
"BERKOVIC, SAMUEL FRANK","GOLDSTEIN, DAVID B."
"BERKOVIC, SAMUEL FRANK","LOWENSTEIN, DANIEL H"
"GOLDSTEIN, DAVID B.","LOWENSTEIN, DANIEL H"
"CICCHETTI, FRANCESCA","BROWNELL, ANNA-LIISA"
"WEISSMAN, MYRNA M","PETERSON, BRADLEY S"
"JARDETZKY, THEODORE S","LONGNECKER, RICHARD M"
"CAMPBELL, KENNETH J","NAKAFUKU, MASATO"
"PASCHALIDIS, IOANNIS","KOZAKOV, DMYTRO"
"DALY, MARY BERYL","BRADBURY, ANGELA R."
"POLLASTRI, MICHAEL P","CAMPBELL, ROBERT KIRWAN"
"GERSHWIN, MERRILL E","SELDIN, MICHAEL F."
"GERSHWIN, MERRILL E","KINGSMORE, STEPHEN FRANCIS"
"SELDIN, MICHAEL F.","KINGSMORE, STEPHEN FRANCIS"
"SHIRIHAI, ORIAN S","GUO, WEN"
"SHIRIHAI, ORIAN S","CORKEY, BARBARA E."
"GUO, WEN","CORKEY, BARBARA E."
"MERCHANT, ROLAND C","NIRENBERG, TED D"
"CHUNG, WENDY K","PHELAN, JO C"
"GOLD, JAMES M.","LUCK, STEVEN J"
"PHAN, K. LUAN","MONK, CHRISTOPHER STEPHEN"
"MANTILLA, CARLOS B","SIECK, GARY C."
"HADDOCK, CHRISTOPHER KEITH","MALONE, RUTH E"
"DONOHUE, PAMELA","TERRIN, MICHAEL L"
"DONOHUE, PAMELA","WAITES, KEN B"
"DONOHUE, PAMELA","VISCARDI, ROSE MARIE"
"DONOHUE, PAMELA","AMBALAVANAN, NAMASIVAYAM"
"DONOHUE, PAMELA","KAUFMAN, DAVID A"
"DONOHUE, PAMELA","SCHELONKA, ROBERT LEWIS"
"TERRIN, MICHAEL L","WAITES, KEN B"
"TERRIN, MICHAEL L","VISCARDI, ROSE MARIE"
"TERRIN, MICHAEL L","AMBALAVANAN, NAMASIVAYAM"
"TERRIN, MICHAEL L","KAUFMAN, DAVID A"
"TERRIN, MICHAEL L","SCHELONKA, ROBERT LEWIS"
"WAITES, KEN B","VISCARDI, ROSE MARIE"
"WAITES, KEN B","AMBALAVANAN, NAMASIVAYAM"
"WAITES, KEN B","KAUFMAN, DAVID A"
"WAITES, KEN B","SCHELONKA, ROBERT LEWIS"
"VISCARDI, ROSE MARIE","AMBALAVANAN, NAMASIVAYAM"
"VISCARDI, ROSE MARIE","KAUFMAN, DAVID A"
"VISCARDI, ROSE MARIE","SCHELONKA, ROBERT LEWIS"
"AMBALAVANAN, NAMASIVAYAM","KAUFMAN, DAVID A"
"AMBALAVANAN, NAMASIVAYAM","SCHELONKA, ROBERT LEWIS"
"KAUFMAN, DAVID A","SCHELONKA, ROBERT LEWIS"
"RUGGIERI, MICHAEL RAYMOND","BARBE, MARY F"
"PRINCE, DAVID ALLAN","HUGUENARD, JOHN R"
"ADAMS, ELIZABETH JANE","MERKENS, MARK"
"ADAMS, ELIZABETH JANE","FREEMAN, KURT A"
"MERKENS, MARK","FREEMAN, KURT A"
"WEAVER, VALERIE MARIE","MOSES, HAROLD L"
"GOLDOWITZ, DANIEL","BLAHA, CHARLES"
"GOLDOWITZ, DANIEL","MITTLEMAN, GUY"
"GOLDOWITZ, DANIEL","HECK, DETLEF H"
"BLAHA, CHARLES","MITTLEMAN, GUY"
"BLAHA, CHARLES","HECK, DETLEF H"
"MITTLEMAN, GUY","HECK, DETLEF H"
"BRY, LYNN","MANTIS, NICHOLAS J."
"FERNANDEZ-ZAPICO, MARTIN ERNESTO","ROBERTS, LEWIS R"
"FINN, PATRICIA W","PERKINS, DAVID LINN"
"RODRIGUE, JAMES R","MANDELBROT, DIDIER A"
"PICKER, LOUIS J.","NIKOLICH, JANKO Z."
"SHULDINER, ALAN R.","JOHNSON, JULIE A."
"SHULDINER, ALAN R.","BENAVENTE, OSCAR R"
"JOHNSON, JULIE A.","BENAVENTE, OSCAR R"
"PAASCHE-ORLOW, MICHAEL","BICKMORE, TIMOTHY W."
"KELLY, JANE X","MELENDEZ, VICTOR"
"HAVTON, LEIF A","BRESNAHAN, JACQUELINE C"
"HAVTON, LEIF A","EDGERTON, REGGIE"
"HAVTON, LEIF A","CAPITANIO, JOHN P"
"HAVTON, LEIF A","TUSZYNSKI, MARK H."
"BRESNAHAN, JACQUELINE C","EDGERTON, REGGIE"
"BRESNAHAN, JACQUELINE C","CAPITANIO, JOHN P"
"BRESNAHAN, JACQUELINE C","TUSZYNSKI, MARK H."
"EDGERTON, REGGIE","CAPITANIO, JOHN P"
"EDGERTON, REGGIE","TUSZYNSKI, MARK H."
"CAPITANIO, JOHN P","TUSZYNSKI, MARK H."
"VAISSE, CHRISTIAN","AHITUV, NADAV"
"VEVES, ARISTIDIS","ZABOLOTNY, JANICE"
"BEEBE, DAVID J","MIYAMOTO, SHIGEKI"
"GARZON, RAMIRO","MARCUCCI, GUIDO"
"CHANG, WEI","METZLER, SCOTT DEAN"
"MONK, CATHERINE E","PETERSON, BRADLEY S"
"RAMEY, SHARON LANDESMAN","STEVENSON, RICHARD D"
"RAMEY, SHARON LANDESMAN","DELUCA, STEPHANIE C."
"RAMEY, SHARON LANDESMAN","CASE-SMITH, JANE"
"STEVENSON, RICHARD D","DELUCA, STEPHANIE C."
"STEVENSON, RICHARD D","CASE-SMITH, JANE"
"DELUCA, STEPHANIE C.","CASE-SMITH, JANE"
"HOLLISTER, SCOTT J","LA MARCA, FRANK"
"STUART, AMY L","PEEL, JENNIFER L"
"STUART, AMY L","VOLCKENS, JOHN"
"PEEL, JENNIFER L","VOLCKENS, JOHN"
"BRIER, MICHAEL E","MERCHANT, MICHAEL L"
"MARCH, KEITH LEONARD","PETRACHE, IRINA"
"MURPHY, GEORGE F","FRANK, MARKUS H."
"MURPHY, GEORGE F","HODI, FRANK S"
"FRANK, MARKUS H.","HODI, FRANK S"
"WIESNER, ULRICH","OW, HOOISWENG"
"WIESNER, ULRICH","BRADBURY, MICHELLE S"
"OW, HOOISWENG","BRADBURY, MICHELLE S"
"CLEVELAND, JOHN L.","ROUSH, WILLIAM R"
"RIORDAN, JOHN R","BALCH, WILLIAM EDWARD"
"RUTTER, JARED P","THUMMEL, CARL S."
"ZHAO, YANGBING","JUNE, CARL H."
"MITTENDORFER, BETTINA","KLEIN, SAMUEL"
"GITLER, AARON D.","BONINI, NANCY M"
"SPORN, PETER H","BEITEL, GREG J"
"PATTERSON, EDWARD E","VITE, CHARLES H"
"PATTERSON, EDWARD E","WORRELL, GREGORY A"
"PATTERSON, EDWARD E","LEYDE, KENT"
"VITE, CHARLES H","WORRELL, GREGORY A"
"VITE, CHARLES H","LEYDE, KENT"
"WORRELL, GREGORY A","LEYDE, KENT"
"TOWNES-ANDERSON, ELLEN S","ZARBIN, MARCO A"
"TOWNES-ANDERSON, ELLEN S","WHITEHEAD, IAN P"
"ZARBIN, MARCO A","WHITEHEAD, IAN P"
"SHARP, DAVID JAMES","SOSA, HERNANDO JOSE"
"SHARP, DAVID JAMES","GERFEN, GARY J."
"SHARP, DAVID JAMES","MA, AO"
"SOSA, HERNANDO JOSE","GERFEN, GARY J."
"SOSA, HERNANDO JOSE","MA, AO"
"GERFEN, GARY J.","MA, AO"
"KRUEGER, BRUCE K","POWELL, ELIZABETH M"
"O'TOOLE, GEORGE A.","MADDEN, DEAN R"
"PIGNOLO, ROBERT JOHN","SHORE, EILEEN M"
"PAN, YINGTIAN","DU, CONGWU"
"NELSON, DAVID LOREN","JIN, PENG"
"SHIVA, SRUTI","GLADWIN, MARK T"
"PAN, WEI","SHEN, XIAOTONG TOM"
"DORRESTEIN, PIETER C","POGLIANO, KIT J"
"LUO, JIA","SHI, XIANGLIN"
"MONTANER, LUIS J","KRAISELBURD, EDMUNDO NELSON"
"MCMAHON, TIMOTHY J","TELEN, MARILYN J"
"LEVIN, MARGARET","SPENCER, KEVIN M"
"MCVOY, MICHAEL A","SCHLEISS, MARK R."
"MCVOY, MICHAEL A","GEBALLE, ADAM P."
"SCHLEISS, MARK R.","GEBALLE, ADAM P."
"ZEMEL, BABETTE S","GRANT, STRUAN F A"
"HOLLEN, PATRICIA JEAN","GRALLA, RICHARD G"
"HEYER, WOLF-DIETRICH","KOWALCZYKOWSKI, STEPHEN CHARLES"
"WEINER, ORION D","VOIGT, CHRISTOPHER A"
"FRANZ, ALEXANDER W E","PASSARELLI, A. LORENA"
"FRANZ, ALEXANDER W E","CLEM, ROLLIE J"
"PASSARELLI, A. LORENA","CLEM, ROLLIE J"
"ENGLEMAN, ERIC A.","BELL, RICHARD LOWELL"
"WARREN, STEPHEN T.","WEINSHENKER, DAVID"
"WARREN, STEPHEN T.","CASPARY, TAMARA J."
"WEINSHENKER, DAVID","CASPARY, TAMARA J."
"HARTGERINK, JEFFREY DALE","D'SOUZA, RENA N."
"CARLSON, SUSAN E","COLOMBO, JOHN A."
"PIVEN, JOSEPH","REISS, ALLAN L"
"EISENBERG, NANCY H.","VALIENTE, CARLOS"
"WEIDHAAS, JOANNE B","SLACK, FRANK J."
"VAGNER, JOSEF","BOITANO, SCOTT"
"VAGNER, JOSEF","PRICE, THEODORE J."
"BOITANO, SCOTT","PRICE, THEODORE J."
"LEVI, BENJAMIN H.","GREEN, MICHAEL J."
"LEPORE, STEPHEN J","COLLINS, BRADLEY N"
"MIRKIN, CHAD A.","PALLER, AMY S"
"SIADAT, MOHAMMAD-REZA","DIOKNO, ANANIAS C"
"ZIGMOND, MICHAEL J","HOFFER, BARRY J"
"OHRI-VACHASPATI, PUNAM","YEDIDIA, MICHAEL JOEL"
"HOFFMAN, GLORIA E","LEVINE, JON E"
"HOFFMAN, GLORIA E","RADOVICK, SALLY"
"HOFFMAN, GLORIA E","WOLFE, ANDREW M"
"LEVINE, JON E","RADOVICK, SALLY"
"LEVINE, JON E","WOLFE, ANDREW M"
"RADOVICK, SALLY","WOLFE, ANDREW M"
"ABECASIS, GONCALO","MARTH, GABOR T"
"DING, LI","DOOLING, DAVID J"
"MELOTTO, MAELI","HE, SHENG YANG"
"CICCHETTI, DANTE CICCHETTI","ROGOSCH, FRED A"
"BORCHELT, DAVID R","SAVONENKO, ALENA"
"POLLAK, KATHRYN I","MYERS, EVAN R"
"TAXMAN, FAYE S","WALTERS, SCOTT T"
"LE SAUX, OLIVIER","BOISVERT, WILLIAM A"
"MOORE, ROLAND S","AMES, GENEVIEVE MARIE"
"HOVEYDA, AMIR H","SCHROCK, RICHARD R"
"RUTKOVE, SEWARD B.","DARRAS, BASIL T"
"JESTE, DILIP V.","LIGHT, GREGORY A"
"BEATTIE, MICHAEL S","BRESNAHAN, JACQUELINE C"
"YORIO, THOMAS","CLARK, ABBOT FREDERICK"
"PARSONS, DONALD W.","PLON, SHARON E."
"PARSONS, DONALD W.","PLON, SHARON E."
"DEELMAN, EWA","KNOWLES, JAMES A"
"DEELMAN, EWA","CHEN, TING"
"KNOWLES, JAMES A","CHEN, TING"
"JANNE, PASI A","GARRAWAY, LEVI A."
"EVANS, JAMES PHILIP","WILHELMSEN, KIRK C."
"EVANS, JAMES PHILIP","BERG, JONATHAN S"
"EVANS, JAMES PHILIP","HENDERSON, GAIL E"
"EVANS, JAMES PHILIP","WECK-TAYLOR, KAREN E"
"WILHELMSEN, KIRK C.","BERG, JONATHAN S"
"WILHELMSEN, KIRK C.","HENDERSON, GAIL E"
"WILHELMSEN, KIRK C.","WECK-TAYLOR, KAREN E"
"BERG, JONATHAN S","HENDERSON, GAIL E"
"BERG, JONATHAN S","WECK-TAYLOR, KAREN E"
"HENDERSON, GAIL E","WECK-TAYLOR, KAREN E"
"CHEN, RUI","MARDON, GRAEME"
"ASCHMAN, DIANE J","KONKLE, BARBARA A"
"ALPINI, GIANFRANCO D","GLASER, SHANNON STROUD"
"BARKER, EDWARD D.","MILL, JONATHAN"
"MCAVOY, JOHNSTON W","LOVICU, FRANK JAMES"
"BOWEN, DEBORAH J.","BERESFORD, SHIRLEY AA"
"DEMUTH, JEFFERY","WADE, MICHAEL J"
"KING, MARY-CLAIRE","WALSH, TOMAS D"
"WATERMAN, MICHAEL R","LEPESHEVA, GALINA I"
"SGOUROS, GEORGE","FREY, ERIC C."
"CORCORAN, TIMOTHY E","GAROFF, STEPHEN"
"LONGAKER, MICHAEL T","GURTNER, GEOFFREY C"
"CARROLL, KATHLEEN M.","PARIS, MANUEL"
"BEAUCHAMP, ROBERT DANIEL","CHEN, XI STEVEN"
"MICHOR, FRANZISKA","LEVINE, ROSS L"
"VERFAELLIE, MIEKE H.","KEANE, MARGARET M"
"BENSMAIA, SLIMAN","CRAIG, JAMES CHARLES"
"BENSMAIA, SLIMAN","HSIAO, STEVEN S"
"CRAIG, JAMES CHARLES","HSIAO, STEVEN S"
"GINTZLER, ALAN R","CHAKRABARTI, SUMITA"
"SANCHEZ ALVARADO, ALEJANDRO","LEWIS, SUZANNA E"
"SANCHEZ ALVARADO, ALEJANDRO","YANDELL, MARK DOUGLAS"
"LEWIS, SUZANNA E","YANDELL, MARK DOUGLAS"
"TRAVERS, JEFFREY B.","KONGER, RAYMOND L"
"WEISS, SCOTT T","LITONJUA, AUGUSTO A"
"COEN, DONALD M","HOGLE, JAMES M"
"WORMAN, HOWARD J","GUNDERSEN, GREGG G"
"LOWMAN, ANTHONY M","PEPPAS, NICHOLAS A"
"GILLIES, ROBERT J.","GATENBY, ROBERT A"
"SEAQUIST, ELIZABETH R.","OZ, GULIN"
"KRONER, BARBARA L","GAILLARD, WILLIAM DAVIS"
"CHAIRES, JONATHAN B.","TRENT, JOHN O"
"LEICHT, KEVIN","BROWN, DANIEL G."
"LEICHT, KEVIN","ELLIOTT, MICHAEL R."
"LEICHT, KEVIN","WITKOWSKI, KRISTINE MARIE"
"LEICHT, KEVIN","RAGHUNATHAN, TRIVELLORE E"
"BROWN, DANIEL G.","ELLIOTT, MICHAEL R."
"BROWN, DANIEL G.","WITKOWSKI, KRISTINE MARIE"
"BROWN, DANIEL G.","RAGHUNATHAN, TRIVELLORE E"
"ELLIOTT, MICHAEL R.","WITKOWSKI, KRISTINE MARIE"
"ELLIOTT, MICHAEL R.","RAGHUNATHAN, TRIVELLORE E"
"WITKOWSKI, KRISTINE MARIE","RAGHUNATHAN, TRIVELLORE E"
"KAYSEN, DEBRA L","SIMPSON, TRACY L."
"ENOMOTO-IWAMOTO, MOTOMI","PACIFICI, MAURIZIO"
"MILLS, DAVID ANDREW","LEBRILLA, CARLITO B"
"MILLS, DAVID ANDREW","SLUPSKY, CAROLYN"
"MILLS, DAVID ANDREW","GERMAN, BRUCE"
"LEBRILLA, CARLITO B","SLUPSKY, CAROLYN"
"LEBRILLA, CARLITO B","GERMAN, BRUCE"
"SLUPSKY, CAROLYN","GERMAN, BRUCE"
"ALPER, CUNEYT METIN","LOSEE, JOSEPH E"
"WEBER, CHRISTINE M","SMITH, ANNE"
"GOLDSCHMIDT-CLERMONT, PASCAL J.","MESRI, ENRIQUE A"
"EL-BARDEESY, NABEEL","KELLY, KIMBERLY A."
"TALAVERA, GREGORY A","ELDER, JOHN P."
"MERCHENTHALER, ISTVAN JOZSEF","PROKAI, LASZLO"
"JAKOWEC, MICHAEL W","WOOD, RUTH I."
"BACHMANN, GLORIA A","FOSTER, DAVID CHARLES"
"BACHMANN, GLORIA A","BROWN, CANDACE S"
"FOSTER, DAVID CHARLES","BROWN, CANDACE S"
"BACHMANN, GLORIA A","FOSTER, DAVID CHARLES"
"BACHMANN, GLORIA A","BROWN, CANDACE S"
"FOSTER, DAVID CHARLES","BROWN, CANDACE S"
"SHACKLETON, CEDRIC HOWARD","WATSON, GORDON L"
"GELLES, JEFF","GOODE, BRUCE L"
"MAISTO, STEPHEN A","CONNORS, GERARD J"
"HUSKAMP, HAIDEN A.","DONOHUE, JULIE MARIE"
"PROSSER, REBECCA A","GLASS, JOHN DAVID"
"MARCHUK, DOUGLAS A.","AWAD, ISSAM A"
"GRYCZYNSKI, ZYGMUNT","YU, YIHUA BRUCE"
"AMBINDER, RICHARD FREDERICK","POMPER, MARTIN G"
"WALKER, DENISE D","STEPHENS, ROBERT S"
"CORBIN, JOSHUA G","HUNTSMAN, MOLLY-MAUREEN"
"HAMILTON, SUSAN L","DIRKSEN, ROBERT T"
"CHERNOFF, JONATHAN","TESTA, JOSEPH R."
"BECHARA, ANTOINE","AMES, SUSAN L."
"KATOVICH, MICHAEL J","RAIZADA, MOHAN K."
"ZINK, M CHRISTINE","GRAHAM, DAVID R. M."
"IRWIN, MICHAEL R","SMITH, MICHAEL T"
"PAPA, STELLA M","MOURADIAN, M. MARAL"
"ADAMKIEWICZ, GARY","BRODY, JULIA GREEN"
"ADAMKIEWICZ, GARY","GAJOS, KRZYSZTOF"
"BRODY, JULIA GREEN","GAJOS, KRZYSZTOF"
"SCHULDINER, SHIMON","KANNER, BARUCH I"
"LIN, SHUO","SAKAMOTO, KATHLEEN M."
"TAYLOR, MICHAEL D.","WEISS, WILLIAM A"
"HUGHES, JOEL W","DOLANSKY, MARY"
"SCHARFMAN, HELEN E","HEMPSTEAD, BARBARA L"
"SCHARFMAN, HELEN E","FRIEDMAN, WILMA J"
"HEMPSTEAD, BARBARA L","FRIEDMAN, WILMA J"
"VITOLINS, MARA Z","SUN, JIELIN"
"FOSKETT, JAMES KEVIN","MAK, DON-ON DANIEL"
"FOSKETT, JAMES KEVIN","PEARSON, JOHN E"
"FOSKETT, JAMES KEVIN","PARKER, IAN"
"MAK, DON-ON DANIEL","PEARSON, JOHN E"
"MAK, DON-ON DANIEL","PARKER, IAN"
"PEARSON, JOHN E","PARKER, IAN"
"CHODOSH, LEWIS A","KUNG, HANK F"
"NEHMEH, SADEK","AZZOLI, CHRISTOPHER GERARD"
"NEHMEH, SADEK","SCHODER, HEIKO"
"AZZOLI, CHRISTOPHER GERARD","SCHODER, HEIKO"
"WAKSCHLAG, LAUREN S","ESPY, KIMBERLY ANDREWS"
"MILLER-JENSEN, KATHRYN","FAN, RONG"
"HERSHEY, ANDREW D","POWERS, SCOTT W"
"CLARKE, MICHAEL","PLEVRITIS, SYLVIA KATINA"
"BLEDNOV, YURI A","HARRIS, ROBERT A"
"JOHNSON, MARK E","ELDRIDGE, GLORIA D"
"SCHMAND, MATTHIAS","CATANA, CIPRIAN"
"BLANGERO, JOHN","GLAHN, DAVID C"
"LINDSLEY, CRAIG","CONN, P JEFFREY"
"FELEPPA, ERNEST JOSEPH","SANGHVI, NARENDRA T"
"EDEN, KAREN BEEKMAN","GLASS, NANCY E"
"WILLIAMS, JOHN CHARLES","POLENOVA, TATYANA"
"WEISS, RON","BENENSON, YAAKOV"
"SPRINGER, CHARLES S.","ROONEY, WILLIAM D"
"BOBROW, BENTLEY JORDAN","SPAITE, DANIEL W."
"MATHERLY, LARRY H","GANGJEE, ALEEM"
"EL-SAMAD, HANA","MADHANI, HITEN D"
"ROSE, C EDWARD","MEHRAD, BORNA"
"NEELAPU, SATTVA S","DAVIS, RICHARD ERIC"
"WEAVER, ALISSA M","KEELY, PATRICIA J"
"WEAVER, ALISSA M","JIANG, YI"
"KEELY, PATRICIA J","JIANG, YI"
"CONE, RICHARD","HANES, JUSTIN S."
"ELHADAD, NOEMIE","CHAPMAN, WENDY W."
"ELHADAD, NOEMIE","SAVOVA, GUERGANA K."
"CHAPMAN, WENDY W.","SAVOVA, GUERGANA K."
"HOFFMAN, PAULA","TABAKOFF, BORIS"
"JAFFE, JACOB DAVID","MACCOSS, MICHAEL"
"BILL, EILEEN SMITH ANDERSON","HOSIG, KATHRYN W"
"KRAMER, LAURA D","GHOSH, ARUN K"
"KRAMER, LAURA D","LI, HONGMIN"
"GHOSH, ARUN K","LI, HONGMIN"
"YU, CHANG","DAI, QI"
"BROSSEAU, LISA M","HENNRIKUS, DEBORAH J"
"LEE, YONG J","BARTLETT, DAVID L"
"LEE, YONG J","ZEH, HERBERT J"
"BARTLETT, DAVID L","ZEH, HERBERT J"
"RASMUSSEN, DENNIS D","FROEHLICH, JANICE C"
"BALABAN, CAREY DAVID","YATES, BILL J"
"OKUSA, MARK DOUGLAS","LOBO, PETER"
"DOERING, CHRISTOPHER BRADLEY","SPENCER, H TRENT"
"WEBER, CHRISTINE M","SMITH, ANNE"
"MARCUCIO, RALPH S","HALLGRIMSSON, BENEDIKT"
"BASSING, CRAIG H","SLECKMAN, BARRY P"
"MONSEES, BARBARA","WANG, LIHONG"
"MUTHUSAMY, NATARAJAN","CHAN, KENNETH K"
"MUTHUSAMY, NATARAJAN","MARCUCCI, GUIDO"
"CHAN, KENNETH K","MARCUCCI, GUIDO"
"SARNAK, MARK J","SHLIPAK, MICHAEL G"
"STURGE-APPLE, MELISSA L","DAVIES, PATRICK T"
"BURNS, JANE C","FRANCO, ALESSANDRA I"
"TEPPER, JAMES M","KOOS, TIBOR"
"LOTTO, ANDREW J","HOLT, LORI L"
"POTASH, MARY JANE","VOLSKY, DAVID J"
"LONG, JIRONG","ZHENG, WEI"
"LU, MIN","MALAMUD, DANIEL"
"HILL, DAVID E.","VIDAL, MARC"
"HILL, DAVID E.","CUSICK, MICHAEL E"
"VIDAL, MARC","CUSICK, MICHAEL E"
"ZOU, YIYU","PEREZ-SOLER, ROMAN"
"SWANSON, KRISTIN R","KINAHAN, PAUL E."
"NATHANSON, KATHERINE L.","SCHWARTZ, STEPHEN M"
"NATHANSON, KATHERINE L.","KANETSKY, PETER A"
"SCHWARTZ, STEPHEN M","KANETSKY, PETER A"
"WITTE, OWEN N.","WU, HONG"
"WITTE, OWEN N.","NELSON, PETER S"
"WU, HONG","NELSON, PETER S"
"LEVCHENKO, ANDRE","LAUFFENBURGER, DOUGLAS A"
"TSAI, SHIOU-CHUAN","BURKART, MICHAEL D."
"WAND, GARY S","MCCAUL, MARY E"
"UNGER, MICHAEL","VOGELBEIN, WOLFGANG KLAUS"
"UNGER, MICHAEL","KAATTARI, STEPHEN L"
"VOGELBEIN, WOLFGANG KLAUS","KAATTARI, STEPHEN L"
"PATISAUL, HEATHER B","ROSENFELD, CHERYL SUSAN"
"GANNETT, PETER M.","TRACY, TIMOTHY S."
"BORLONGAN, CESARIO V","GARBUZOVA-DAVIS, SVITLANA NICOLAI"
"WADDEN, THOMAS A.","GUR, RUBEN C."
"SHERWIN, ROBERT S","CAPRIO, SONIA"
"JOHNSON, ERIC OTTO","BIERUT, LAURA J."
"SOPER, STEVEN ALLAN","BAIRD, ALISON E"
"MCLEOD, BRYCE DOUGLAS","SOUTHAM-GEROW, MICHAEL A"
"NANJUNDAN, MEERA","MILLS, GORDON B."
"SHIELDS, CLEVELAND GEORGE","EPSTEIN, RONALD M."
"HAYES, RICHARD BERNARD","PEI, ZHIHENG"
"KAUSHANSKY, KENNETH","GEDDIS, AMY E"
"ZHANG, HAO F","JIAO, SHULIANG"
"ZHANG, HAO F","FAWZI, AMANI A"
"JIAO, SHULIANG","FAWZI, AMANI A"
"PFEFFERBAUM, ADOLF","SULLIVAN, EDITH VIONI"
"GALATZ, LEESA M","THOMOPOULOS, STAVROS"
"GALATZ, LEESA M","XIA, YOUNAN"
"THOMOPOULOS, STAVROS","XIA, YOUNAN"
"DENSLOW, NANCY D","HALDEN, ROLF U"
"WEITZMAN, ELISSA R","MANDL, KENNETH D"
"HSIA, CONNIE C. W.","NGUYEN, KYTAI TRUONG"
"STICE, ERIC M","BUTRYN, MEGHAN"
"DEMASO, DAVID R","SZIGETHY, EVA M"
"LEONARD, LAURENCE BAKER","FEY, MARC E."
"DONNELLY, JOSEPH E.","SAVAGE, CARY R"
"DE ARAUJO, IVAN E","SMALL, DANA M"
"ZAIDI, MONE","SUN, LI"
"ZAIDI, MONE","DAVIES, TERRY FRANCIS"
"SUN, LI","DAVIES, TERRY FRANCIS"
"LUBY, JOAN L.","BOTTERON, KELLY N"
"LUBY, JOAN L.","BARCH, DEANNA"
"BOTTERON, KELLY N","BARCH, DEANNA"
"CHASSIN, LAURIE A","PRESSON, CLARK C."
"DONCARLOS, LYDIA L","SISK, CHERYL L."
"UNGER, JENNIFER BETH","BAEZCONDE-GARBANATI, LOURDES A."
"BACHUS, KENT N.","GRAINGER, DAVID W"
"MELNICK, ARI M.","CHIOSIS, GABRIELA"
"WALTER, MARK R","BARRY, PETER A"
"KAMYA, MOSES ROBERT","DORSEY, MATTHEW G"
"CHUANG, PAO-TIEN","KRUMMEL, MATTHEW F"
"CHUANG, PAO-TIEN","CHAPMAN, HAROLD A"
"KRUMMEL, MATTHEW F","CHAPMAN, HAROLD A"
"BOHMANN, DIRK","JASPER, HEINRICH"
"WHITE, ERIC S","NIKLASON, LAURA E"
"RANDELL, SCOTT H","HOGAN, BRIGID L.M."
"RANDELL, SCOTT H","STRIPP, BARRY R"
"HOGAN, BRIGID L.M.","STRIPP, BARRY R"
"STREETER, PHILIP R","WHITSETT, JEFFREY A"
"FENG, ZIDING","BARLOW, WILLIAM E"
"BRANCA, ROSA TAMARA","DRIEHUYS, BASTIAAN"
"SMITH, ERIC E","BLACKER, DEBORAH L."
"KEKU, TEMITOPE O.","SANDLER, ROBERT S."
"FORMAN, JOHN P","SESSO, HOWARD D"
"BURDICK, JASON A","MAUCK, ROBERT L"
"PETROV, DMITRI","SCHMIDT, PAUL"
"FIELD, JOSHUA JEFFREY","LEY, KLAUS F."
"FIELD, JOSHUA JEFFREY","LINDEN, JOEL M."
